name,distance,longitude,latitude
OSOBOWICE,0,16.99407691,51.13736298
Most Milenijny,1,16.99844283,51.13591629
OSOBOWICKA (Cmentarz),2,17.00574316,51.13507182
OSOBOWICKA (Cmentarz II),1,17.01122724,51.13448960
Serbska (C.K. Agora),1,17.01988582,51.13365374
most Osobowicki,1,17.02754049,51.13304740
Kleczkowska,2,17.02758415,51.12728377
PL. STASZICA,2,17.03025905,51.12246241
Pomorska,2,17.03175553,51.11723354
Rynek,4,17.02659351,51.10983404
Narodowe Forum Muzyki,2,17.02648256,51.10803952
Renoma,2,17.02999796,51.10429039
Arkady (Capitol),2,17.02925954,51.10165234
Zaolziańska,2,17.02539105,51.09780921
Wielka,1,17.02110563,51.09420317
Rondo,1,17.01749444,51.09114361
Sztabowa,1,17.01465516,51.08873881
HALLERA,1,17.01235293,51.08676056
Gajowicka,2,17.00670969,51.08797899
Mielecka,2,17.00041963,51.08962653
Ojca Beyzyma,1,16.99331873,51.09036896
Aleja Pracy,1,16.98525883,51.09175294
FAT,0,16.98032861,51.09424076
