name,distance,longitude,latitude
KOZANÓW (Dokerska),0,16.96401266,51.14112633
Kozanowska,1,16.96527395,51.13899898
Modra,1,16.96665219,51.13667401
Pilczycka (Anima),1,16.96913354,51.13509598
Kolista,1,16.97270684,51.13293534
Kwiska,3,16.98342767,51.12527521
Małopanewska,1,16.98773894,51.12366598
Niedźwiedzia,1,16.99361834,51.12129299
ZACHODNIA (Stacja kolejowa),2,17.00040918,51.11639765
pl. Strzegomski (Muzeum Współczesne),2,17.00771969,51.11292785
Młodych Techników,1,17.01195540,51.11277560
PL. JANA PAWŁA II,2,17.02069685,51.11189395
pl. Orląt Lwowskich,2,17.02144329,51.10729913
pl. Legionów,2,17.02172817,51.10485494
Arkady (Capitol),2,17.02869907,51.10139117
DWORZEC AUTOBUSOWY,3,17.03264418,51.09712263
Joannitów,2,17.03611767,51.09337720
Gajowa,1,17.03998645,51.09178124
Prudnicka,2,17.04505117,51.08920280
Kamienna,2,17.04840295,51.08491312
BARDZKA,2,17.04937482,51.08255773
Krynicka,1,17.05050289,51.07968933
Morwowa,2,17.05064579,51.07688832
Świeradowska,1,17.04626183,51.07715183
GAJ,0,17.037582,51.0771599
