name,distance,longitude,latitude
GRABISZYŃSKA (Cmentarz),0,16.97697458,51.09058463
Fiołkowa,1,16.97771380,51.09229525
FAT,2,16.98093922,51.09470298
Hutmen,1,16.98576959,51.09589669
Bzowa (Centrum Zajezdnia),1,16.99265121,51.09760594
pl. Srebrny,2,16.99616962,51.09844161
Stalowa,1,17.00165188,51.09966574
Pereca,1,17.00798764,51.10111679
Grabiszyńska,2,17.01244095,51.10209878
pl. Legionów,2,17.02161539,51.10435569
Arkady (Capitol),2,17.02869907,51.10139117
DWORZEC GŁÓWNY,3,17.03530936,51.10000181
Wzgórze Partyzantów,2,17.03728240,51.10368465
GALERIA DOMINIKAŃSKA,2,17.03870108,51.10852890
pl. Nowy Targ,1,17.03915953,51.11038702
Hala Targowa,1,17.03957331,51.11276876
pl. Bema,2,17.04211691,51.11750255
Na Szańcach,1,17.04204126,51.11890241
Jedności Narodowej,1,17.04372305,51.12167038
Nowowiejska,2,17.04513281,51.12436093
Daszyńskiego,1,17.04766164,51.12632996
Mosty Warszawskie,1,17.05464272,51.12838049
KROMERA,0,17.06514576,51.13176050
