name,distance,longitude,latitude
KROMERA,0,17.06514576,51.13176050
Mosty Warszawskie,2,17.05457915,51.12847316
Daszyńskiego,1,17.04844659,51.12674064
Nowowiejska,1,17.04489110,51.12423910
Jedności Narodowej,1,17.04345676,51.12154855
Na Szańcach,1,17.04201805,51.11940012
pl. Bema,2,17.04171255,51.11666311
Hala Targowa,2,17.03941049,51.11266094
pl. Nowy Targ,1,17.03902559,51.11040648
GALERIA DOMINIKAŃSKA,1,17.03857899,51.10840398
Świdnicka,2,17.03195223,51.10744994
Rynek,3,17.02696354,51.11104770
PL. JANA PAWŁA II,2,17.02048757,51.11208496
Młodych Techników,2,17.01193508,51.11287498
pl. Strzegomski (Muzeum Współczesne),1,17.00696258,51.11314781
Dolmed,2,17.00235255,51.11413879
Śrubowa,1,17.00108848,51.11231448
Wrocławski Park Przemysłowy,0,16.99341061,51.11250542
