name,distance,longitude,latitude
SĘPOLNO,0,17.10389412,51.11428508
Godebskiego (AWF Wrocław),1,17.09799238,51.11394125
8 Maja,1,17.09111971,51.11366915
Stadion Olimpijski,1,17.09002274,51.11704986
Karłowicza,1,17.08645985,51.11704629
Chopina,1,17.08199474,51.11687817
Kochanowskiego,2,17.07345129,51.11511855
Grunwaldzka,1,17.06773330,51.11502086
Piastowska,1,17.06149176,51.11581644
Górnickiego,1,17.05587279,51.11633455
Ogród Botaniczny,1,17.05025445,51.11681938
pl. Bema,3,17.04171255,51.11666311
Hala Targowa,2,17.03941049,51.11266094
pl. Nowy Targ,1,17.03902559,51.11040648
GALERIA DOMINIKAŃSKA,1,17.03857899,51.10840398
Park Staromiejski,2,17.03689849,51.10512525
Opera,2,17.03185662,51.10563583
Arkady (Capitol),4,17.02925954,51.10165234
Zaolziańska,2,17.02539105,51.09780921
Wielka,1,17.02110563,51.09420317
Rondo,1,17.01749444,51.09114361
Sztabowa,1,17.01465516,51.08873881
HALLERA,1,17.01235293,51.08676056
Jastrzębia,1,17.01049203,51.08422089
Orla,2,17.00802948,51.08010372
KRZYKI,2,17.00708869,51.07473562
Radio i Telewizja,2,17.00574360,51.07155180
Przyjaźni,2,17.00328255,51.06854633
Braterska,1,16.99920899,51.06767570
Sąsiedzka,1,16.99489050,51.06687356
KLECINA,0,16.98676750,51.06547473
