name,distance,longitude,latitude
OPORÓW,0,16.97216500,51.08431990
GRABISZYŃSKA (Cmentarz II),1,16.97552321,51.08763746
GRABISZYŃSKA (Cmentarz),1,16.97697458,51.09058463
Fiołkowa,1,16.97771380,51.09229525
FAT,2,16.98093922,51.09470298
Hutmen,1,16.98576959,51.09589669
Bzowa (Centrum Zajezdnia),1,16.99265121,51.09760594
pl. Srebrny,2,16.99616962,51.09844161
Stalowa,1,17.00165188,51.09966574
Pereca,1,17.00798764,51.10111679
Grabiszyńska,2,17.01244095,51.10209878
pl. Legionów,2,17.02161539,51.10435569
Narodowe Forum Muzyki,2,17.02664669,51.10794457
Świdnicka,3,17.03189460,51.10738093
GALERIA DOMINIKAŃSKA,2,17.03963685,51.10761120
Urząd Wojewódzki,3,17.04995779,51.10861026
most Grunwaldzki,1,17.05549333,51.11013807
PL. GRUNWALDZKI,2,17.06052920,51.11145161
Kliniki,2,17.06641438,51.10920637
Hala Stulecia,2,17.07372026,51.10689464
ZOO,1,17.07741786,51.10561429
Tramwajowa,1,17.08421204,51.10432782
Chełmońskiego,1,17.09092741,51.10375672
Piramowicza,1,17.09640613,51.10308181
Spółdzielcza,1,17.10180840,51.10220597
BISKUPIN,0,17.10914151,51.10125726
