name,distance,longitude,latitude
BISKUPIN,0,17.10914151,51.10125726
Spółdzielcza,1,17.10232233,51.10220568
Piramowicza,1,17.09632744,51.10318075
Chełmońskiego,1,17.09071196,51.10388351
Tramwajowa,1,17.08466996,51.10446678
ZOO,1,17.07789820,51.10556077
Hala Stulecia,1,17.07346452,51.10708821
Kliniki,2,17.06511141,51.10971261
PL. GRUNWALDZKI,2,17.06146483,51.11115685
Piastowska,2,17.06087806,51.11536577
Prusa,2,17.05740455,51.11947637
Wyszyńskiego,2,17.05294166,51.12191848
Nowowiejska,2,17.04489110,51.12423910
Słowiańska,2,17.04021724,51.12354187
DWORZEC NADODRZE,2,17.03503322,51.12431438
DWORZEC NADODRZE,0,17.03497559,51.12474914
Trzebnicka,2,17.03666443,51.12813401
Broniewskiego,3,17.03647045,51.13539399
Kamieńskiego,2,17.03222223,51.14097658
Kępińska,1,17.03123301,51.14421879
Wołowska,1,17.03027131,51.14736909
POŚWIĘTNE,0,17.02870737,51.15028811
