name,distance,longitude,latitude
POŚWIĘTNE,0,17.02870502,51.15020817
Wołowska,1,17.02988057,51.14814790
Kępińska,1,17.03107522,51.14420506
Kamieńskiego,1,17.03213387,51.14074741
Broniewskiego,2,17.03633492,51.13530226
Trzebnicka,3,17.03653188,51.12864987
DWORZEC NADODRZE,2,17.03481634,51.12484091
Paulińska,1,17.03500554,51.12097128
Dubois,2,17.03396739,51.11709299
Uniwersytet,3,17.03238677,51.11375617
Rynek,3,17.02659351,51.10983404
Narodowe Forum Muzyki,2,17.02648256,51.10803952
Renoma,2,17.02999796,51.10429039
Arkady (Capitol),2,17.02925954,51.10165234
Zaolziańska,2,17.02539105,51.09780921
Wielka,1,17.02110563,51.09420317
Rondo,1,17.01749444,51.09114361
Sztabowa,1,17.01465516,51.08873881
HALLERA,1,17.01235293,51.08676056
Jastrzębia,1,17.01049203,51.08422089
Orla,2,17.00802948,51.08010372
KRZYKI,2,17.00708869,51.07473562
Radio i Telewizja,2,17.00574360,51.07155180
Przyjaźni,2,17.00328255,51.06854633
Braterska,1,16.99920899,51.06767570
Sąsiedzka,1,16.99489050,51.06687356
KLECINA,0,16.98676750,51.06547473
