name,distance,longitude,latitude
PARK POŁUDNIOWY,0,17.01447844,51.07267104
Pułtuska,1,17.01571816,51.07393743
Weigla (Szpital),1,17.01833332,51.07676668
Jaworowa,1,17.02222742,51.08096990
Wiśniowa,2,17.02467005,51.08351956
Uniwersytet Ekonomiczny,2,17.02846418,51.08913156
Sanocka,1,17.03041633,51.09339306
DWORZEC AUTOBUSOWY,2,17.03277662,51.09746411
DWORZEC GŁÓWNY,3,17.03551983,51.09969271
Wzgórze Partyzantów,2,17.03728240,51.10368465
GALERIA DOMINIKAŃSKA,2,17.03870108,51.10852890
pl. Nowy Targ,1,17.03915953,51.11038702
Hala Targowa,1,17.03957331,51.11276876
pl. Bema,2,17.04326798,51.11708721
Ogród Botaniczny,2,17.05206422,51.11659529
Górnickiego,1,17.05491954,51.11625304
Piastowska,1,17.06010108,51.11578409
Grunwaldzka,1,17.06676238,51.11513397
Kochanowskiego,3,17.07361711,51.11506270
Chopina,1,17.08162463,51.11673687
Karłowicza,1,17.08605899,51.11691447
Stadion Olimpijski,1,17.08989673,51.11687491
8 Maja,1,17.09144205,51.11360467
Godebskiego (AWF Wrocław),1,17.09700244,51.11382548
SĘPOLNO,0,17.10389412,51.11428508
