name,distance,longitude,latitude
OSOBOWICE,0,16.99407691,51.13736298
Most Milenijny,1,16.99844283,51.13591629
OSOBOWICKA (Cmentarz),2,17.00574316,51.13507182
OSOBOWICKA (Cmentarz II),1,17.01122724,51.13448960
Serbska (C.K. Agora),1,17.01988582,51.13365374
most Osobowicki,1,17.02754049,51.13304740
Kleczkowska,2,17.02758415,51.12728377
PL. STASZICA,2,17.03025905,51.12246241
Pomorska,2,17.03056017,51.11805751
Dmowskiego,2,17.02472382,51.11624383
PL. JANA PAWŁA II,2,17.02222943,51.11213440
pl. Orląt Lwowskich,2,17.02144329,51.10729913
pl. Legionów,2,17.02172817,51.10485494
Grabiszyńska,2,17.01364505,51.10242083
Pereca,1,17.00743968,51.10107786
Stalowa,2,17.00042637,51.09947071
pl. Srebrny,1,16.99613211,51.09848461
Bzowa (Centrum Zajezdnia),1,16.99192456,51.09761219
Hutmen,1,16.98598787,51.09612668
FAT,2,16.98076730,51.09476661
FAT,0,16.98032767,51.09407322
