name,distance,longitude,latitude
KARŁOWICE,0,17.03714800,51.13425313
Trzebnicka,2,17.03653188,51.12864987
DWORZEC NADODRZE,2,17.03481634,51.12484091
DWORZEC NADODRZE,0,17.03500926,51.12422936
Słowiańska,2,17.04134956,51.12362685
Nowowiejska,2,17.04415281,51.12391727
Jedności Narodowej,1,17.04345676,51.12154855
Na Szańcach,1,17.04201805,51.11940012
pl. Bema,2,17.04171255,51.11666311
Hala Targowa,2,17.03941049,51.11266094
pl. Nowy Targ,1,17.03902559,51.11040648
GALERIA DOMINIKAŃSKA,1,17.03857899,51.10840398
Wzgórze Partyzantów,2,17.03740190,51.10428012
DWORZEC GŁÓWNY,2,17.03607079,51.10072902
DWORZEC GŁÓWNY,1,17.03516168,51.09962699
DWORZEC AUTOBUSOWY,2,17.03264418,51.09712263
Joannitów,2,17.03611767,51.09337720
Gajowa,1,17.03998645,51.09178124
Prudnicka,2,17.04505117,51.08920280
Kamienna,2,17.04840295,51.08491312
BARDZKA,2,17.05048962,51.08291661
Nyska,1,17.05468321,51.08299207
Transbud,1,17.06020391,51.08367677
Klimasa,2,17.06255177,51.08000340
TARNOGAJ,0,17.06364922,51.07813327
