name,distance,longitude,latitude
POŚWIĘTNE,0,17.02870502,51.15020817
Wołowska,1,17.02988057,51.14814790
Kępińska,1,17.03107522,51.14420506
Kamieńskiego,1,17.03213387,51.14074741
Kamieńskiego,1,17.03156525,51.13955130
Bałtycka,1,17.03017448,51.13778407
Kleczkowska,3,17.02758415,51.12728377
PL. STASZICA,2,17.03025905,51.12246241
Pomorska,2,17.03175553,51.11723354
Rynek,4,17.02659351,51.10983404
Narodowe Forum Muzyki,2,17.02648256,51.10803952
pl. Legionów,3,17.02257986,51.10483121
Arkady (Capitol),2,17.02869907,51.10139117
DWORZEC AUTOBUSOWY,3,17.03264418,51.09712263
Sanocka,3,17.03023265,51.09328154
Uniwersytet Ekonomiczny,1,17.02866719,51.08988892
Wiśniowa,2,17.02528013,51.08435772
Jaworowa,1,17.02259043,51.08151334
Weigla (Szpital),2,17.01836232,51.07697039
Pułtuska,1,17.01590504,51.07430192
PARK POŁUDNIOWY,0,17.01447844,51.07267104
