name,distance,longitude,latitude
OPORÓW,0,16.97222011,51.08432541
GRABISZYŃSKA (Cmentarz II),1,16.97552321,51.08763746
GRABISZYŃSKA (Cmentarz),1,16.97697458,51.09058463
Fiołkowa,1,16.97771380,51.09229525
FAT,2,16.98093922,51.09470298
Hutmen,1,16.98576959,51.09589669
Bzowa (Centrum Zajezdnia),1,16.99265121,51.09760594
pl. Srebrny,2,16.99616962,51.09844161
Stalowa,1,17.00165188,51.09966574
Pereca,1,17.00798764,51.10111679
Grabiszyńska,2,17.01244095,51.10209878
pl. Legionów,2,17.02161539,51.10435569
Arkady (Capitol),2,17.02869907,51.10139117
DWORZEC GŁÓWNY,3,17.03530936,51.10000181
Wzgórze Partyzantów,2,17.03728240,51.10368465
GALERIA DOMINIKAŃSKA,2,17.03963685,51.10761120
pl. Wróblewskiego,4,17.04833897,51.10488489
pl. Zgody,2,17.05331733,51.10060367
Na Niskich Łąkach,1,17.05609126,51.09710040
Krakowska,2,17.05994282,51.09331094
KRAKOWSKA (Centrum handlowe),1,17.06465687,51.09003489
Armii Krajowej,1,17.06828287,51.08750139
Park Wschodni,1,17.07219405,51.08488582
Karwińska,2,17.07696046,51.08194351
Głubczycka,1,17.08001002,51.08015951
KSIĘŻE MAŁE,0,17.08400560,51.07727815
