name,distance,longitude,latitude
KRZYKI,0,17.00722819,51.07486132
Orla,2,17.00818654,51.08014492
Jastrzębia,2,17.01029125,51.08368029
HALLERA,1,17.01173244,51.08599179
Sztabowa,1,17.01418454,51.08819750
Rondo,1,17.01712401,51.09069019
Wielka,1,17.02063499,51.09365152
Zaolziańska,1,17.02518704,51.09747772
Arkady (Capitol),2,17.02896675,51.10093905
Renoma,2,17.03063782,51.10374948
Opera,2,17.03206375,51.10551567
ŚWIDNICKA (Dom Europy),1,17.03341338,51.10681208
Oławska,1,17.03398723,51.10863474
Wita Stwosza,1,17.03497352,51.11073818
Uniwersytecka,1,17.03585352,51.11263198
Dubois,2,17.03429734,51.11727839
pl. Bema,2,17.04211691,51.11750255
Na Szańcach,1,17.04204126,51.11890241
Jedności Narodowej,1,17.04372305,51.12167038
Nowowiejska,2,17.04513281,51.12436093
Daszyńskiego,1,17.04766164,51.12632996
Mosty Warszawskie,1,17.05464272,51.12838049
KROMERA,3,17.06522581,51.13166221
Kętrzyńska,1,17.07448226,51.13087791
Kwidzyńska,1,17.07965542,51.13155531
Gęsia,1,17.08816611,51.13184919
Bociania,2,17.09805406,51.12973220
KOWALE,0,17.10219215,51.12781415
